사업표준용어명,영문약어,설명,공공도메인,사업도메인,데이터타입,길이,허용값,저장형식,표현형식,이음동의어,출처
이슈상세코드,ISSUE_DTL_TYPE_CD,"이슈의 세부 유형을 나타내는 코드

[영문] Issue Detail Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이슈유형코드,ISSUE_TYPE_CD,"이슈의 유형을 나타내는 코드

[영문] Issue Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이전기관코드,PREV_OG_CD,"이전의 기관 코드

[영문] Previous Organization Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
이전상태코드,PREV_STTS_CD,변경 전 DATA_STTS_CD,,,V,32,,,,,KLID-저작도구 ERD-012
인증서아이디,CRTF_ID,"인증서의 아이디

[영문] Certificate Serial Id",명V100,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
인증수단유형,CERT_MNS_TYPE,사용자 인증 수단의 유형(비밀번호/GPKI/SSO 등). 인증(gov 2037)+수단(gov 1453)+유형(gov 1943). gov 표준 도메인 부재로 custom.,,,C,20,,,,,KLID 2차 D005 ERD-012 user_auth_methods.auth_type
인증완료여부,CERT_CMPTN_YN,인증 코드 검증 완료 여부(Y/N). 인증(gov:2037)+완료(gov:1804)+여부(gov:1711).,여부C1,,,,,,,,KLID-PT D002 ERD-002 verification_codes.verified
읽기타임아웃,RD_TMOT,외부 호출 read timeout (ms). genai_endpoints.read_timeout_ms,수N10,,,,,,,,KLID-2 D007 ERD-007
입력유형코드,INPUT_TYPE_CD,속성 입력 위젯 타입(TEXT/NUMBER/SELECT/CHECKBOX/RADIO),,,V,16,,,,,KLID-저작도구 ERD-019
자동라벨여부,AUTO_LBL_YN,자동 라벨 여부 (DEFAULT 'Y'),,,C,1,,,,,KLID-저작도구 ERD-010
작성자식별자,WRTR_ID,"콘텐츠 작성자 사용자 ID (faq.author_id, service_request_replies.author_id, page_guides/notices.author_user_id).",,,,,,,,,D006 ERD-014 정합
작성자아이디,WRTR_ID,공지사항 작성 관리자 FK. 작성자(gov:2151)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D003 ERD-003 notices.author_id
작업시작일시,JOB_BGNG_DT,"작업 시작의 날자와 시각

[영문] Job Beginning Date And Time",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업요청여부,JOB_DMND_YN,"작업이 요청 되었는지 아닌지에 대한 여부

[영문] Job Demand Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업우선순위,JOB_OOP,"작업에 대한 우선순위

[영문] Job Order Of Priority",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
작업종료일시,JOB_END_DT,"작업 종료의 날자와 시각

[영문] Job End Date And Time",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
잠금대상코드,LOCK_TARGET_CD,잠금 대상 유형 코드,,,V,20,,,,,KLID-저작도구 ERD-020
잠금상태코드,LOCK_STTS_CD,잠금 상태 코드(LOCKED/RELEASED),,,V,20,,,,,KLID-저작도구 ERD-020
잠금해제시각,LCK_RMV_TM,임시잠금 자동 해제 시각(ADR-001). 잠금(gov:2162)+해제(gov:3144)+시각(gov:1561).,연월일시분초D,,,,,,,,KLID-PT D002 ERD-002 members.locked_until
저장방법코드,STRG_MTHD_CD,"CCTV영상의 저장방법을 나타내는 코드

[영문] Storage Method Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
저장사유코드,SAVE_REASON_CD,버전 저장 사유 코드(BATCH/MANUAL/ROLLBACK),,,V,20,,,,,KLID-저작도구 ERD-019
전광판제조사,EDB_MNFTR_CO,"전광판제조사

[영문] Electronic Display Board Manufacture Company",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전송상태코드,TRSM_STTS_CD,관제지원센터로의 이벤트 전송 상태 코드 (대기/성공/실패 등),,,V,10,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
전송성공건수,TRANS_SUCC_COUNT,"중앙 전송 성공 건수

[영문] Transmission Success Count",수N10,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전송성공여부,TRANS_STATUS_YN,"전송 성공 유무

[영문] Transmission Status Yes Or No",,여부V1,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
전송실패건수,TRANS_FAIL_COUNT,"중앙 전송 실패 건수

[영문] Transmission Fail Count",수N10,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
접근가능여부,ACS_PSBLTY_YN,해당 권한이 메뉴에 접근 가능한지 여부. 접근(gov 2318)+가능(gov 48)+여부(gov 1711).,여부C1,,,,,,,,KLID 2차 D005 ERD-012 menu_authorities.access_yn
정렬우선순위,ALIGN_OOP,목록 노출 정렬 우선순위 (faq.sort_order).,,,,,,,,,D006 ERD-014 정합
조회시도일시,FETCH_RTY_DT,"마지막 갱신 시도 시각 (실패 포함). 재시도(RTY, program 381) 단어 정합.",연월일시분초D,,,,,,,,
주석카테고리,ANTN_CTGRY,"샘플의 주석 카테고리. 단어 조합: 주석(ANTN, gov 2458) + 카테고리(CTGRY, program 195). training_samples.annotation_categories.",,,,,,,,,KLID-2 D004 ERD-010
중앙전송상태,CENTER_STATUS,"중앙 전송 진행 상태

[영문] Center Transmission Status",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
증강기법목록,AUG_TECH_LIST,"적용된 증강 기법 목록 (JSONB). 단어 조합: 증강(AUG, prog 616) + 기법(TECH, prog 617) + 목록(LIST, gov 828). augmentation_jobs.techniques.",,,,,,,,,KLID-PT D005 ERD-006
증강유형코드,AUG_TYPE_CD,증강유형코드 — WINTER/NIGHT/RAIN/RESOLUTION 4종(SFR-07),,,V,20,,,,,KLID-저작도구 ERD-011
집계구분코드,TOT_SE_CD,집계 차원 구분(EVENT_TYPE/REGION/TIMELINE/SUMMARY). 집계(gov:2596)+구분(gov:413)+코드(gov:2891).,,,V,20,,,,,KLID-PT D006 ERD-002 데이터현황스냅샷.집계구분코드
집합교육횟수,GROUP_EDU_CNT,해당 연도 집합교육 실시 횟수. 단어조합 집합(GRP)+교육(EDU)+횟수(NMTM). 물리명 group_edu_cnt 유지.,,,N,,,,,,발주처 관제인력 교육현황 조사 양식
처리단계코드,PROC_STEP_CD,파이프라인 처리 단계 코드(BatchStage 명),,,V,30,,,,,KLID-저작도구 ERD-020
처리상태코드,PROC_STTS_CD,비식별 처리 상태 코드(REQUESTED/SUCCEEDED/FAILED),,,V,20,,,,,KLID-저작도구 ERD-017
처리유형코드,PRCS_TYPE_CD,"처리 방식이나 구분에 대한 유형 코드

[영문] Processing Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
처리자아이디,PRCR_ID,관리자 조치 시 처리자 FK→회원. 처리자(gov:2659)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D001 ERD-001 회원탈퇴이력.처리자ID
첨부파일경로,ATCH_FILE_PATH,"시스템에서 해당 파일이 저장된 경로 또는 위치

[영문] Attachment File Path",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
첨부파일크기,ATCH_FILE_SZ,"안건이나 문서 등에 덧붙인 파일을 저장할 때 쓰이는 디스크 공간의 큰 정도

[영문] Attachment File Size",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
청크수신일시,CHUNK_RCPTN_DT,"청크를 수신한 일시

[영문] Chunk Reception Date And Time",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
청크파일크기,CHUNK_FILE_SZ,"청크파일의 크기

[영문] Chunk File Size",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
총크기바이트,TOT_SIZE_BYTE,총 크기 바이트. 영상·썸네일 누적 용량.,,,,,,,,,
최근통신일시,RCNT_COMM_DT,"얼마 되지 않은 지나간 날부터 바로 직전까지의 기간에 통신한 날짜와 시각

[영문] Recent Communication Datetime",연월일시분초D,,,,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최대수집건수,MAX_CLCT_NOCS,"최대 수집 가능한 건수

[영문] Maximum Collection Number Of Cases",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
최종리셋일시,LAST_RESET_DT,ID 시퀀스 마지막 리셋 시각. RESET_CYCL_CD 주기 기준으로 자동 갱신,연월일시분초D,,,,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
최종연결일시,LAST_CONN_DT,외부 시스템에 마지막으로 정상 연결된 시각. 헬스체크 모니터링 기준,연월일시분초D,,,,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
최종조회일시,LAST_INQ_DT,,,,,,,,,,D003 ERD-008 C그룹 (geocode_cache.last_accessed_at→last_inq_dt rename)
최종진행일시,LAST_PRGRS_DT,"마지막 진행(processing) Webhook 수신 시각. 종결(웹훅수신일시)과 별개 — 진행 보고 갱신 추적용(ADR-059 API-289 진행 Webhook). 단어조합 최종(LAST)+진행(PRGRS, gov 2589)+일시(DT). genai_jobs.last_prgrs_dt.",연월일시분초D,,,,,,,,KLID-2 D007 ERD-007
최종폴링일시,POLL_LAST_DT,마지막으로 폴링을 수행한 일시.,연월일시분초D,,,,,,,,KLID-저작도구 표준용어 3계층 정합 (2026-07-10)
최종푸시상태,LAST_PUSH_STTS,본체 push 진행 상태. SSE 진행률·운영자 수동 갱신.,,,,,,,,,
최하위기관명,LWST_OG_NM,"최하위에 위치한 기관명

[영문] Lowest Organization Name",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
카메라식별자,CAM_ID,"카메라 고유 식별자

[영문] Camera Id",,명V30,V,50,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
카메라해상도,CAM_RSLTN,"카메라해상도

[영문] Camera Resolution",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
카테고리설명,CTGRY_EXPLN,"카테고리 설명

[영문] Category Explain",내용V4000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
코드일련번호,CD_SN,라벨프리셋코드 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-019
클립상태코드,CLIP_STTS_CD,"클립 영상의 상태 코드

[영문] Clip Status Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
클립유형코드,CLIP_TYPE_CD,"클립 영상 유형을 구분하는 코드.

[영문] Clip Type Code",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
통계이벤트키,STATS_EVNT_KEY,"통계 이벤트 식별 키. ADR-054 중계서버가 생성하는 unique key (identity_key, ULID).",,,,,,,,,
트랙사용여부,TRCK_USE_YN,"해당 트랙의 사용 여부

[영문] Track Use Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
페이로드내용,PAYLOAD_CN,"JSON 직렬화된 통지 페이로드. 라벨/메타 본문 미포함, 메타·수정 요약만",,,V,4000,,,,,KLID-저작도구 ERD-021
페이지아이디,PAGE_ID,"정적 페이지 FK(→static_pages). 페이지(PAGE, prog 592)+아이디(ID, gov 1634). static_page_versions.page_id.",,,,,,,,,KLID-PT D007 ERD-005
폴대관리번호,POLE_MNG_NO,"폴대 자산에 대한 고유 관리 번호

[영문] Pole Management Number",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
폴대유형코드,POLE_TYPE_CD,"폴대의 유형의 코드

[영문] Pole Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
폴대일련번호,POLE_SN,"폴대의 일련번호

[영문] Pole Serial Number",명V20,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
폴링상태코드,POLL_STTS_CD,외부 시스템 비동기 처리 결과 폴링의 처리 상태 코드.,,,V,20,,,,,KLID-저작도구 표준용어 3계층 정합 (2026-07-10)
폴링시도횟수,POLL_ATMPT_CNT,폴링 시도 누적 횟수. 타임아웃 판정용.,,수I11,,,,,,,KLID-저작도구 표준용어 3계층 정합 (2026-07-10)
표준완료일자,STD_CMPTN_YMD,"이벤트 소스별 표준화 처리가 완료된 일자 (YYYYMMDD).

[영문] Standardization Completion Date",,,V,8,,YYYYMMDD,,,KLID-2 자체 파생 (표준+완료+일자)
프레임간격수,FRME_INTV_NOCS,자동(AUTO) 모드의 프레임 간격(프레임 수),,,N,10,,,,,KLID-저작도구 ERD-013
프로젝트내용,PJT_CN,"프로젝트에 대한 설명 또는 세부 내용

[영문] Project Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프로젝트이름,PJT_NM,"프로젝트의 이름 또는 명칭

[영문] Project Name",명V200,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프롬프트내용,PROMPT_CN,"안내 문구, 메시지, 입력 힌트 등의 내용

[영문] Prompt Content",,내용V4000,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
프리셋아이디,PRESET_ID,라벨프리셋 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-019
플랫폼아이디,PLFM_ID,"플랫폼을 식별하기 위한 고유 식별자

[영문] Platform Id",,식별자V36,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
학습영상건수,LRN_VDO_CNT,"학습영상 통계 건수

[영문] Learning Video Count",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
학습영상전송,LRN_VDO_TRSM,"학습 목적의 영상 데이터를 전송하는 기능 또는 기록

[영문] Learning Video Transmission",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
한전고객번호,KEPCO_CUST_TELNO,"CCTV 전원의 한전 고객 전화번호

[영문] Korea Electric Power Corporation Customer Telephone Number",,명V15,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
협약기관코드,CLIENT_ORG_CD,협약 클라이언트 기관 코드.,,,V,20,,,,,
화소범위코드,PXL_RNG_CD,"화소범위를 나태내는 코드

[영문] Pixel Range Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
활동상태코드,ACTV_STTS_CD,"해당 항목이나 사용자의 현재 활동 상태를 나타내는 코드 (예: 활성, 비활성 등)

[영문] Activity Status Code",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
회신필요여부,RPLY_NEED_YN,"회신 필요 여부

[영문] Reply Need  Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
휴대전화번호,MBL_TELNO,"회원 휴대전화번호(PASS 수신, ADR-004). 휴대(gov:3268)+전화번호(gov:2302). ERD 논리명 '휴대폰번호'→'휴대전화번호' 정합.",,,V,20,,,,,KLID-PT D001 ERD-001 회원.휴대폰번호→휴대전화번호
감시영역폴리곤,SURV_RLM_POLY,,,,,,,,,,D003 ERD-008 C그룹 (resource_cctvs.view_polygon)
게시글일련번호,NOTICE_SN,공지게시글 PK(IDENTITY),,,N,19,,,,,KLID-저작도구 ERD-022
결정사용자번호,DCSN_USER_NO,결정(검수) 사용자 번호,,,V,50,,,,,KLID-저작도구 ERD-011
공지사항아이디,NTC_MTTR_ID,공지사항 FK. 공지(gov:332)+사항(gov:1242)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D003 ERD-003 notice_attachments.notice_id 외 2테이블
기타안내판유무,ETC_INFBD_YN,"기타안내판유무

[영문] Et cetera Information Board Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기타안내판유형,ETC_INFBD_TYPE,"기타안내판유형

[영문] Et cetera Information Board Type",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
기타제조국대수,ETC_COM,"기타제조국대수

[영문] Et cetera Manufacture Nation Count Of Machines",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
내부요청식별자,REQ_ID,저작도구 내부 요청 추적 ID(traceId 계열),,,V,64,,,,,KLID-저작도구 ERD-017
다음재시도일시,NEXT_RTRY_DT,다음 재시도 예정 일시. SUCCEEDED/DEAD_LETTER 전이 시 NULL,,,D,,,,,,KLID-저작도구 ERD-021
대상버전아이디,TRGT_VER_ID,"배포 대상이 되는 버전 식별자. 단어 조합: 대상(TRGT, gov 677) + 버전(VER, gov 995) + 아이디(ID, gov 1634). dispatch_jobs.target_version_id.",,,,,,,,,KLID-2 D004 ERD-010
대상사용자번호,SUBJECT_USER_NO,이벤트 대상 사용자 번호,,,N,19,,,,,KLID-저작도구 ERD-014
대상세션식별자,TRGT_SSN_IDNTFR,"재사용 감지 대상이 된 세션(refresh 토큰 세션)의 식별자. 단어 조합: 대상(TRGT, gov 677) + 세션(SSN, gov 1371) + 식별자(IDNTFR, gov 1591). ADR-070. D001 relay_reuse_audit. 물리명 기존 prv(이전)는 논리 '대상'과 어긋나 교체.",명V40,,,,,,,,KLID-2 D001 ERD-005
대상회원아이디,TRGT_MBR_ID,관리자 행위 대상이 되는 회원 FK. 대상(gov:677)+회원(gov:3245)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D002 ERD-002 admin_action_logs.target_member_id
대표데이터형태,RPRS_DATA_SHP,"버전의 대표 데이터 구조/형태 메타. 단어 조합: 대표(RPRS, gov 699) + 데이터(DATA, program 225) + 형태(SHP, gov 3193). dataset_versions.data_shape.",,,,,,,,,KLID-2 D004 ERD-010
대표이미지경로,RPRS_IMG_PATH,활용사례 대표 이미지 파일 경로(AC-091). 대표(gov:699)+이미지(gov:1984)+경로(gov:224).,,,V,500,,,,,KLID-PT D004 ERD-004 활용사례.대표이미지경로
데이터구축건수,DATA_ETBL_NOCS,"데이터 구축이 이루어진 총 건수

[영문] Data Establish Number Of Cases",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터구축년도,DATA_ETBL_YR,"데이터가 구축된 연도 정보

[영문] Data Establish Year",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터구축용량,DATA_ETBL_CPCT,"데이터 구축을 통해 생성된 전체 용량

[영문] Data Establish Capacity",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터상태코드,DATA_STTS_CD,"데이터의 상태를 나타내는 코드

[영문] Data Status Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터셋아이디,DATA_SET_ID,"데이터셋 고유 식별자

[영문] Data Set Id",,일련번호B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
데이터파일경로,DATA_FILE_PATH,"데이터 파일이 저장된 시스템상의 경로

[영문] Data File Path",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
등록사용자번호,REG_USER_NO,등록 사용자 번호(수동 라벨). 자동 라벨은 NULL,,,N,19,,,,,KLID-저작도구 ERD-010
라벨무결성비율,LBL_INTGRT_PCT,라벨 무결성 보존율 0~100(좌표 0.7 + 카테고리 0.3 가중),,,N,"5,2",,,,,KLID-저작도구 ERD-011
로고젝터모델명,LPJ_MDL_NM,"로고젝터모델명

[영문] Logo Projector Model Name",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로고젝터제조사,LPJ_MNFTR_CO,"로고젝터제조사

[영문] Logo Projector Manufacture Company",,명V30,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인결과내용,LGN_RSLT_CN,"로그인 결과에 대한 내용

[영문] Login Result Content",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인방법코드,LGN_MTHD_CD,"로그인을 시도한 방법에 대한 코드

[영문] Login Method Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인성공여부,LGN_SCS_YN,"로그인 시도에 대한 성공 여부

[영문] Login success Yes or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인시도일시,LGN_ATMPT_DT,"로그인을 시도한 날짜와 시각

[영문] Login Attempt Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인실패건수,LGN_FAIL_NOCS,"로그인 실패 발생 횟수를 누적한 값

[영문] Login Fail Number Of Cases",,수I11,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
로그인실패횟수,LGN_FAIL_NMTM,연속 로그인 실패 횟수(DFEAT-023 잠금 기준). 로그인(gov:763)+실패(gov:1625)+횟수(gov:3252). KLID-BM '로그인실패건수(LGN_FAIL_NOCS)'와 별개 — '건수' vs '횟수' 다른 단어.,,,N,10,,,,,KLID-PT D001 ERD-001 회원.로그인실패횟수
마지막사용일시,LAST_USE_DT,해당 인증 수단/IP가 마지막으로 사용된 일시. 마지막(program 578)+사용(gov 1228)+일시(gov 2056).,연월일시분초D,,,,,,,,KLID 2차 D005 ERD-012 user_auth_methods.last_used_at / user_ip_allowlist.last_used_at
마지막활동일시,LAST_ACTV_DT,"마지막으로 활동한 날짜와 시각

[영문] Last Active Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
메타데이터속성,META_DATA_ATRB,"메타데이터가 가진 속성

[영문] Metadata Attribute",,JSONV4000,,,JSON,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
모델버전아이디,MDL_VER_ID,"모델 버전 FK(→ai_model_versions). 모델(MDL, gov 822)+버전(VER, gov 995)+아이디(ID, gov 1634). model_download_histories.model_version_id.",,,,,,,,,KLID-PT D006 ERD-004
목표해상도코드,GOAL_RES_CD,표준 하위 해상도 코드(RES_1080P/RES_720P/RES_480P),,,V,16,,,,,KLID-저작도구 ERD-012
반려작성자번호,REPORTED_USER_NO,반려를 등록한 REVIEWER 사용자 번호,,,V,50,,,,,KLID-저작도구 ERD-015
배포작업아이디,DSTRB_JOB_ID,"배포 작업 식별자. 단어 조합: 배포(DSTRB, program 233) + 작업(JOB, gov 2152) + 아이디(ID, gov 1634). dispatch_job_datasets/dispatch_logs.dispatch_job_id.",,,,,,,,,KLID-2 D004 ERD-010
벤더이벤트코드,VENDOR_EVNT_CD,외부 벤더가 부여한 이벤트 유형 코드 원본값. 표준 이벤트 코드로 매핑되는 입력값,,,V,100,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
변경사용자번호,CHG_USER_NO,변경 사용자 번호,,,N,19,,,,,KLID-저작도구 ERD-010
변경전권한코드,CHG_BFR_AUTHRT_CD,권한 변경 이력에서 변경 이전의 권한 코드. 변경(gov 1021)+전(program 482)+권한(gov 452)+코드(gov 2891).,코드C2,,,,,,,,KLID 2차 D005 ERD-012 user_role_history.before_authrt_cd
변경후권한코드,CHG_AFT_AUTHRT_CD,권한 변경 이력에서 변경 이후의 권한 코드. 변경(gov 1021)+후(program 483)+권한(gov 452)+코드(gov 2891).,코드C2,,,,,,,,KLID 2차 D005 ERD-012 user_role_history.after_authrt_cd
비식별성공건수,A_SUCC_COUNT,"비식별처리 전송 성공 건수

[영문] Anonymized Success Count",수N10,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자등록여부,USER_REG_YN,"사용자가 등록되어 있는지 여부

[영문] User Registration Yes Or No",,여부V1,,,"Y : 여(예), N : 부(아니요)",,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자등록일시,USER_REG_DT,"사용자가 등록된 일시

[영문] User Registration Datetime",연월일시분초D,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자비밀번호,USER_PSWD,"사용자 인증에 필요한 비밀번호

[영문] User Password",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자에이전트,USER_AGENT,"사용자의 접속 환경 정보

[영문] User Agent",,명V500,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자유형코드,USER_TYPE_CD,"사용자의 유형을 나타내는 코드

[영문] User Type Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사용자일련번호,USER_SN,"사용자의 고유 일련번호

[영문] User Serial Number",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
사장큐진입일시,DLQ_DT,"사장큐(DLQ, dead-letter) 진입 일시",,,D,,,,,,KLID-저작도구 ERD-021
상용망보안방안,CMCL_NET_SCRTY_MSRS,"상용망 보안 방안

[영문] Commercial Network Security Measure",,,V,10,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
상위버전아이디,UP_VER_ID,"부모(직전) 버전 식별자. 단어 조합: 상위(UP, gov 1288) + 버전(VER, gov 995) + 아이디(ID, gov 1634). dataset_versions.parent_version_id.",,,,,,,,,KLID-2 D004 ERD-010
생성시스템코드,SRC_SYS_CD,생성 시스템: AI_SERVER/CONTROL_SERVER/PORTAL,,,V,20,,,,,KLID-저작도구 ERD-010
소속지자체코드,USER_LCLGV_CD,"사용자가 소속된 지자체 코드

[영문] User Local Government Code",,코드V10,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수급서버아이디,CLCT_ID,"수급서버 고유 식별자

[영문] Collection ID",,수B20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
수집시스템정보,COLLECTION_MODE,"수집시스템 정보

[영문] Collection Mode",,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
스냅샷기준일자,SNAPSHOT_DT,공개 스냅샷의 기준 일자(일배치 갱신 기준일).,,,D,,,,,,
시스템역할여부,SYS_ROLE_YN,해당 역할이 시스템 기본 제공(내장) 역할인지 여부. 시스템(gov 1579)+역할(gov 1719)+여부(gov 1711).,여부C1,,,,,,,,KLID 2차 D005 ERD-012 roles.is_system
신규사용자번호,NEW_USER_NO,재배정 이후의 배정 대상 사용자 번호,,,N,19,,,,,KLID-저작도구 ERD-014
썸네일블롭참조,THMB_BLOB_REF,썸네일 base64 저장 위치 (NAS 또는 jsonb inline).,,,,,,,,,
썸네일상태코드,THMB_STTS_CD,"썸네일 추출작업의 상태 코드

[영문] Thumbnail Status Code",,코드V20,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
썸네일파일경로,THMB_FILE_PATH,"썸네일 이미지 파일이 저장된 경로

[영문] Thumbnail File Path",내용V1000,,,,,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
액세스만료일시,ACS_EXPD_DT,"액세스 토큰의 만료 시각. 단어 조합: 액세스(ACS, program 456) + 만료(EXPRY, gov 만료일시 기반) + 일시(DT, gov 2056). gov 만료일시(3203) 기반 합성.",연월일시분초D,,,,,,,,KLID-2 D001 ERD-005
약관버전아이디,TRMS_VER_ID,약관 버전 FK. 약관(gov:1671)+버전(gov:995)+아이디(gov:1634).,명V20,,,,,,,,KLID-PT D002 ERD-002 member_agreements.terms_version_id
어노테이션요약,ANNO_SMRY,"어노테이션 요약 정보 (bbox_count, label_list, cot_steps 등 구조화 요약, jsonb). 단어 조합: 어노테이션(ANNO, prog 177) + 요약(SMRY, gov 1826). training_samples.annotation_summary.",,,,,,,,,KLID-PT D001 ERD-001
어노테이션포맷,ANNO_FMT,"어노테이션에 사용된 포맷 유형

[영문] Annotation Format",,JSONV4000,,,JSON,,,,KLID-BM 표준용어정의서 (2026-05-28 배포)
업로드만료일시,UPLOAD_EXPD_DT,TUS 업로드 세션 만료 시각. 만료 전까지 resume 가능,연월일시분초D,,,,,,,,KLID-2 ERD 표준용어 일괄 등록 (2026-06-25)
